title,picture,author,synopsis,classement,language,genre,link_fanfic
The Unforgiven,/static/images/d_60_90.jpg,artalicous,"A fellowship is formed to destroy the One Ring to save middle-Earth. They withstand loss, battles, war. What they hadn't reckoned was Ethir - lost bloodline of Sauron. Lethal conspiracies are unveiled, old scores are settled, and the line between hero and villain is sharp enough to draw blood. What does the future hold? (Legolas x OC) (Aragorn x Arwen) (last edit: 2021/April)",Rated: T , English , Adventure/Romance ,/s/12819582/1/The-Unforgiven
Little Sparrow,/static/images/d_60_90.jpg,Silent Quicksilver,"When he first laid eyes on her, she was digging graves for the dead; she had arrived too late. When she first laid eyes on him, he climbed the hill, pillars of smoke trailing into the darkened air behind him; he had arrived too late. There they both stood, and there, in the deepening dusk and in the settling night, two heavy and sorrowful hearts meet. It was all too late.",Rated: T , English , Adventure/Romance ,/s/13518168/1/Little-Sparrow
Reclaiming Khazad-dûm,/static/images/d_60_90.jpg,Ellynn,"In the 7th century of the 4th Age dwarvish King Durin VII leads his people to reclaim their greatest kingdom ever – Moria, or Khazad-dûm. There are many adventures on the journey from Erebor to Khazad-dûm, and once the dwarves arrive there, they have to win the war against the orcs to reclaim their old home. The story goes through three POVs – King Durin and two OCs (F & M).",Rated: T , English , Adventure/Romance ,/s/13758743/1/Reclaiming-Khazad-d%C3%BBm
Outcasts,/static/images/d_60_90.jpg,Outcasts,"Alahn was a man of Rohan until he tried to throw the king's adviser across the room. Alone, chased by orcs and wargs, and with only his horse, Firefly, for company, he seeks sanctuary in Rivendell... Elves are supposed to be perfect, but Jaylan can't speak, and only a rogue human thinks he knows more than he lets on. Sometimes you find friends in unlikely places.",Rated: K+ , English , Friendship/Adventure ,/s/13478334/1/Outcasts
Arandur Denethor,/static/images/d_60_90.jpg,Arandur Denethor,"Near the end of his life, Denethor visits Ithilien to be with his family. His family does not know of his imminent arrival and is taken by surprise. Just as they are by the news he brings with him. While there, he remembers how the War of the Ring ended. Faramir's advice allowed him to free himself from Sauron's hold. Part of the Arandur Denethor series.",Rated: T , English , Adventure ,/s/13408315/1/Arandur-Denethor
Between,/static/images/d_60_90.jpg,NataliaRoma97,"As the politically middle child of Lord Denethor, Lady Ilimira is sent away to the country of Rohan to negotiate with the horselords in these troubled times. But in the gathering darkness of oncoming War, this mission will change not only her life and the lives of her family and new friends, but the very fate of Middle Earth. Pre-Fellowship through post-Return.",Rated: T , English , Adventure/Friendship ,/s/13785355/1/Between
Nothing bad will last forever,/static/images/d_60_90.jpg,M excellent,"18 years old Estel joined the ranger in a quest to help elves in Mirkwood. What will happen to her and how the wood elves will receive her and her rangers, especially a real stubborn crown prince who is known for his hatred to humans. Warning female Aragorn character known here as Aragona or Ara.",Rated: T , English , Angst/Romance ,/s/13771958/1/Nothing-bad-will-last-forever
In Times of Trouble,/static/images/d_60_90.jpg,In Times of Trouble,"*Book 2 in the Maer Chronicles* 5 long years have passed since Legolas's return to the Greenwood. Dark creatures still lurk in the shadows of the trees and attacks on the barrier continue - draining the prince's strength. When a patrol is found slain by Noldorin arrows and Legolas collapses, Kélion is forced to decide between loyalty to his King or the survival of his brother...",Rated: T , English , Adventure/Angst ,/s/13844510/1/In-Times-of-Trouble
On the Wings of Fire,/static/images/d_60_90.jpg,PyreElegy,"The dragons created by Morgoth long ago are a terrible sight to behold. Untold people have fallen to their might, wrought only by their hatred and darkness. That is, until one unseen act of luck and kindness changes the course of a small drakeling, and the entire balance of power in Middle Earth with it.",Rated: T , English , Adventure/Fantasy ,/s/13857868/1/On-the-Wings-of-Fire
The Lady of the Rohirrim,/static/images/d_60_90.jpg,blue1cemoon,"""Deeds that move the wheels of the world may be attempted by the weak with as much hope as the strong."" A retelling of the War of the Ring through the eyes of a newly emancipated prizefighter. Rescued by the Rohirrim and facing the brink of war, Truva seeks to find her place among the horse lords. Written as a preface to further post-canon adventures.",Rated: T , English , Adventure/Romance ,/s/13763901/1/The-Lady-of-the-Rohirrim
The Antagonist,/static/images/d_60_90.jpg,artalicous,"Awarthrie was the only child of Kili and Tauriel, raised by Glóin. She hates the shinny pointy-eared tree-hugging bastards. The apparent enmity between Elves and Dwarves reached its zenith as Awarthrie crossed paths with Mirkwood's prince. How deeply will their clash be? Follow their adventures, during the war of the ring and beyond, from Foes to friends or even love. R & R!",Rated: T , English , Romance/Adventure ,/s/13765058/1/The-Antagonist
"Baking, a story",/static/images/d_60_90.jpg,the knight of the archives,A small mishap in Bag end's kitchen ends up strengthening Merry and Pippin's friendship,Rated: K , English , Friendship/Hurt/Comfort ,/s/13849413/1/Baking-a-story
An Unexpected Adventure,/static/images/d_60_90.jpg,An Unexpected Adventure,"In the spring of 2012, four American children find themselves thrust into an unfamiliar world and part of an unexpected adventure. This story is AU, blending Lord of the Rings book-verse and movie-verse, and it also contains a lot of spiritual and religious content as a part of the AU elements. Co-written by KathyG and Dreamflower. Join our guess-the-chapter-title origin challenge!",Rated: K+ , English , Adventure/Spiritual ,/s/12987041/1/An-Unexpected-Adventure
Not Alone,/static/images/d_60_90.jpg,Mirrordance,"In the aftermath of the Battle for Helm's Deep, the sole survivor among the elves is suddenly burdened by what to do with the bodies of his slain people. Legolas' friends refuse to let him bear it alone.",Rated: T , English , Friendship/Hurt/Comfort ,/s/13858357/1/Not-Alone
